Contig accession,NCBI Id
NC_003485,NC_003485
NC_003485,NC_003485
NC_003485,NC_003485
NC_003485,NC_003485
NC_003485,NC_003485
NC_002505,NC_002505
NC_002505,NC_002505
NC_003919,NC_003919
NC_003919,NC_003919
NC_002488,NC_002488
NC_002488,NC_002488
NC_002488,NC_002488
NC_002488,NC_002488
NC_002488,NC_002488
NC_002488,NC_002488
NC_004556,NC_004556
NC_004556,NC_004556
NC_004556,NC_004556
NC_004556,NC_004556
NC_004556,NC_004556
NC_003134,NC_003134
NC_003143,NC_003143
NC_003143,NC_003143
NC_004838,NC_004838
NC_004835,NC_004835
NC_004835,NC_004835
NC_004088,NC_004088
NC_004088,NC_004088
